legislador,clave,legislador_id,camara,distrito,bloque,bloque_norm,desde,hasta,bloque_linaje,fuente,nota
"ABAD, MAXIMILIANO",ABAD MAXIMILIANO,leg:3d537dc379b2,senado,BUENOS AIRES,UCR - UNIÓN CÍVICA RADICAL,UCR,2023-12-10,2029-12-09,RADICALISMO,oficial:nomina_senado,
Claudia Alejandra Ledesma  Abdala,ABDALA ALEJANDRA CLAUDIA LEDESMA,leg:23d4e5fddb8c,senado,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Claudia Alejandra Ledesma  Abdala,ABDALA ALEJANDRA CLAUDIA LEDESMA,leg:23d4e5fddb8c,senado,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"ABDALA, BARTOLOMÉ ESTEBAN",ABDALA BARTOLOME ESTEBAN,leg:36271e7001d2,senado,SAN LUIS,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-12-10,2029-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Claudia Ledesma Abdala de Zamora,ABDALA CLAUDIA LEDESMA ZAMORA,leg:457a26c7f3ec,senado,PROVINCIA DE SANTIAGO DEL ESTERO SANTIAGO DEL ESTERO,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2023-12-10,2025-12-09,FdT-UxP (kirchnerismo),wikipedia:2023-2025,
Ada Rosa Del Valle Itúrrez de Cappellini,ADA CAPPELLINI ITURREZ ROSA VALLE,leg:630aa96e542e,senado,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,FRENTE CIVICO POR SANTIAGO,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
"BAHL, ADÁN HUMBERTO",ADAN BAHL HUMBERTO,leg:7f75e0b422c2,senado,ENTRE RÍOS,JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
Adolfo Rodríguez Saá,ADOLFO RODRIGUEZ SAA,leg:e224f157fa1b,senado,SAN LUIS,UNIDAD JUSTICIALISTA,UNIDAD JUSTICIALISTA,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Adolfo Rodríguez Saá,ADOLFO RODRIGUEZ SAA,leg:e224f157fa1b,senado,PROVINCIA DE SAN LUIS SAN LUIS,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Adolfo Rodríguez Saá,ADOLFO RODRIGUEZ SAA,leg:e224f157fa1b,senado,PROVINCIA DE SAN LUIS SAN LUIS,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
Eduardo Alberto Aguilar,AGUILAR ALBERTO EDUARDO,leg:9ebdb13b3748,senado,CHACO,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
"MONTEVERDE, AGUSTÍN ANÍBAL",AGUSTIN ANIBAL MONTEVERDE,leg:b8c98aec9190,senado,CIUDAD AUTÓNOMA DE BUENOS AIRES,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
"COTO, AGUSTÍN PEDRO",AGUSTIN COTO PEDRO,leg:9db028f422d2,senado,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
"BENEGAS LYNCH, JOAQUÍN ALBERTO",ALBERTO BENEGAS JOAQUIN LYNCH,leg:6609d7d519f4,senado,ENTRE RÍOS,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Carlos Alberto Caserio,ALBERTO CARLOS CASERIO,leg:6a775690ac56,senado,CORDOBA,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
Carlos Alberto Caserio,ALBERTO CARLOS CASERIO,leg:6a775690ac56,senado,PROVINCIA DE CORDOBA (ARGENTINA) CORDOBA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"LINARES, CARLOS ALBERTO",ALBERTO CARLOS LINARES,leg:85caace6065d,senado,CHUBUT,JUSTICIALISTA,JUSTICIALISTA,2021-12-10,2027-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
Carlos Alberto Reutemann,ALBERTO CARLOS REUTEMANN,leg:8f2feddf6552,senado,SANTA FE,SANTA FE FEDERAL,SANTA FE FEDERAL,2017-12-10,2021-07-07,PERONISMO FEDERAL,wikipedia:2017-2019,
Alberto Edgardo Weretilneck,ALBERTO EDGARDO WERETILNECK,leg:2c9004a9261d,senado,PROVINCIA DE RIO NEGRO RIO NEGRO,JUNTOS SOMOS RÍO NEGRO,JUNTOS SOMOS RIO NEGRO,2019-12-10,2021-12-09,OTRO / PROVINCIAL,wikipedia:2019-2021,
"SALINO, FERNANDO ALDO",ALDO FERNANDO SALINO,leg:f789b602c96a,senado,SAN LUIS,JUSTICIA SOCIAL FEDERAL,JUSTICIA SOCIAL FEDERAL,2023-12-10,2029-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
"VIGO, ALEJANDRA MARÍA",ALEJANDRA MARIA VIGO,leg:846e16690071,senado,CÓRDOBA,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2021-12-10,2027-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
María Alejandra Vucasovich,ALEJANDRA MARIA VUCASOVICH,leg:ee35b04b19c8,senado,PROVINCIA DE SANTA FE SANTA FE,SANTA FE FEDERAL,SANTA FE FEDERAL,2021-07-15,2021-12-09,PERONISMO FEDERAL,wikipedia:2019-2021,
"VISCHI, EDUARDO ALEJANDRO",ALEJANDRO EDUARDO VISCHI,leg:4e01233d484a,senado,CORRIENTES,UCR - UNIÓN CÍVICA RADICAL,UCR,2021-12-10,2027-12-09,RADICALISMO,oficial:nomina_senado,
"SUÁREZ, RODOLFO ALEJANDRO",ALEJANDRO RODOLFO SUAREZ,leg:cb62881c7682,senado,MENDOZA,UCR - UNIÓN CÍVICA RADICAL,UCR,2023-12-10,2029-12-09,RADICALISMO,oficial:nomina_senado,
Alfredo de Ángeli,ALFREDO ANGELI,leg:4134165cb004,senado,PROVINCIA DE ENTRE RIOS ENTRE RIOS,FRENTE PRO,FRENTE PRO,2023-12-10,2025-12-09,PRO,wikipedia:2023-2025,
Alfredo Luis de Angeli,ALFREDO ANGELI LUIS,leg:b96cd4f160b8,senado,ENTRE RIOS,FRENTE PRO,FRENTE PRO,2017-12-10,2023-12-09,PRO,wikipedia:2017-2019,
Alfredo Héctor Luenzo,ALFREDO HECTOR LUENZO,leg:1d4e242ba5e0,senado,CHUBUT,CHUBUT SOMOS TODOS,CHUBUT SOMOS TODOS,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
Alfredo Héctor Luenzo,ALFREDO HECTOR LUENZO,leg:1d4e242ba5e0,senado,PROVINCIA DEL CHUBUT CHUBUT,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"JUEZ, LUIS ALFREDO",ALFREDO JUEZ LUIS,leg:1a3f94202854,senado,CÓRDOBA,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2021-12-10,2027-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
"KIRCHNER, ALICIA MARGARITA ANTONIA",ALICIA ANTONIA KIRCHNER MARGARITA,leg:c8ca5073abc7,senado,SANTA CRUZ,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"ALMEIDA, ROMINA MARÍA",ALMEIDA MARIA ROMINA,leg:d78450c584cb,senado,ENTRE RÍOS,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-12-10,2031-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Ana Claudia Almirón,ALMIRON ANA CLAUDIA,leg:6a63adfe30c6,senado,CORRIENTES,FRENTE PARA LA VICTORIA-PJ,FRENTE PARA LA VICTORIA,2017-12-10,2019-12-09,FdT-UxP (kirchnerismo),wikipedia:2017-2019,
Ana Claudia Almirón,ALMIRON ANA CLAUDIA,leg:6a63adfe30c6,senado,PROVINCIA DE CORRIENTES CORRIENTES,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
José Jorge Alperovich,ALPEROVICH JORGE JOSE,leg:75f5ac66d055,senado,TUCUMAN,PERONISMO TUCUMÁN,PERONISMO TUCUMAN,2017-12-10,2019-12-09,OTRO / PROVINCIAL,wikipedia:2017-2019,
José Jorge Alperovich,ALPEROVICH JORGE JOSE,leg:75f5ac66d055,senado,PROVINCIA DE TUCUMAN TUCUMAN,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"ALVAREZ RIVERO, CARMEN",ALVAREZ CARMEN RIVERO,leg:0451cfd41d79,senado,CÓRDOBA,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2021-12-10,2027-12-09,LA LIBERTAD AVANZA,oficial:nomina_senado,
Ana María Ianni,ANA IANNI MARIA,leg:04cbdf4e5d75,senado,SANTA CRUZ,FRENTE PARA LA VICTORIA-PJ,FRENTE PARA LA VICTORIA,2017-12-10,2019-12-09,FdT-UxP (kirchnerismo),wikipedia:2017-2019,
Ana María Ianni,ANA IANNI MARIA,leg:04cbdf4e5d75,senado,PROVINCIA DE SANTA CRUZ SANTA CRUZ,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
Ana María Ianni,ANA IANNI MARIA,leg:04cbdf4e5d75,senado,PROVINCIA DE SANTA CRUZ SANTA CRUZ,UNIDAD CIUDADANA,UNIDAD CIUDADANA,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"MARKS, ANA INÉS",ANA INES MARKS,leg:2bdada86d143,senado,RÍO NEGRO,JUSTICIALISTA,JUSTICIALISTA,2025-12-10,2031-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
"FERNÁNDEZ SAGASTI, ANABEL",ANABEL FERNANDEZ SAGASTI,leg:df9b73dc88b2,senado,MENDOZA,FRENTE PARA LA VICTORIA-PJ,FRENTE PARA LA VICTORIA,2017-12-10,2019-12-09,FdT-UxP (kirchnerismo),wikipedia:2017-2019,
"FERNÁNDEZ SAGASTI, ANABEL",ANABEL FERNANDEZ SAGASTI,leg:df9b73dc88b2,senado,PROVINCIA DE MENDOZA MENDOZA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"FERNÁNDEZ SAGASTI, ANABEL",ANABEL FERNANDEZ SAGASTI,leg:df9b73dc88b2,senado,MENDOZA,JUSTICIALISTA,JUSTICIALISTA,2021-12-10,2027-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
José Anatolio Ojeda,ANATOLIO JOSE OJEDA,leg:5c060a8d5bce,senado,TIERRA DEL FUEGO,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
"ANDRADA, GUILLERMO EDUARDO",ANDRADA EDUARDO GUILLERMO,leg:ea15b4b826ff,senado,CATAMARCA,CONVICCIÓN FEDERAL,CONVICCION FEDERAL,2021-12-10,2027-12-09,OTRO / PROVINCIAL,oficial:nomina_senado,
"CRISTINA, ANDREA MARCELA",ANDREA CRISTINA MARCELA,leg:7f6b12f26249,senado,CHUBUT,FRENTE PRO,FRENTE PRO,2021-12-10,2027-12-09,PRO,oficial:nomina_senado,
Pedro Guillermo Ángel Guastavino,ANGEL GUASTAVINO GUILLERMO PEDRO,leg:a3fe20a55edc,senado,ENTRE RIOS,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
"MAYANS, JOSÉ MIGUEL ÁNGEL",ANGEL JOSE MAYANS MIGUEL,leg:e6cf1ab5182b,senado,FORMOSA,JUSTICIALISTA,JUSTICIALISTA,2017-12-10,2019-12-09,PERONISMO FEDERAL,wikipedia:2017-2019,
"MAYANS, JOSÉ MIGUEL ÁNGEL",ANGEL JOSE MAYANS MIGUEL,leg:e6cf1ab5182b,senado,PROVINCIA DE FORMOSA FORMOSA,FRENTE DE TODOS,FRENTE DE TODOS,2019-12-10,2021-12-09,FdT-UxP (kirchnerismo),wikipedia:2019-2021,
"MAYANS, JOSÉ MIGUEL ÁNGEL",ANGEL JOSE MAYANS MIGUEL,leg:e6cf1ab5182b,senado,PROVINCIA DE FORMOSA FORMOSA,FRENTE NACIONAL Y POPULAR,FRENTE NACIONAL Y POPULAR,2021-12-10,2023-12-09,FdT-UxP (kirchnerismo),wikipedia:2021-2023,
"MAYANS, JOSÉ MIGUEL ÁNGEL",ANGEL JOSE MAYANS MIGUEL,leg:e6cf1ab5182b,senado,FORMOSA,JUSTICIALISTA,JUSTICIALISTA,2023-12-10,2029-12-09,FdT-UxP (kirchnerismo),oficial:nomina_senado,
