Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque
Ledesma Abdala de Zamora,Claudia,Santiago del Estero,2017-12-10,2019-12-09,Frente Civico por Santiago
Lehmann,Maria Lucila,Santa Fe,2017-12-10,2021-12-09,Coalicion Civica
Llaryora,Martin Miguel,Cordoba,2017-12-10,2019-12-09,Cordoba Federal
Matzen,Lorena,Rio Negro,2017-12-10,2021-12-09,Ucr
Medina,Gladys,Tucuman,2019-12-10,2021-12-09,Frente de Todos
Medina,Gladys,Tucuman,2024-01-24,2025-12-09,Independencia
Medina,Gladys,Tucuman,2025-12-10,2029-12-09,Independencia
Medina,Martin Nicolas,Buenos Aires,2017-12-10,2021-12-09,Pro
Menna,Gustavo,Chubut,2017-12-10,2021-12-09,Ucr
Monaldi,Osmar Antonio,Jujuy,2017-12-10,2021-12-09,Pro
Montenegro,Guillermo Tristan,Buenos Aires,2017-12-10,2019-12-04,Pro
Morales,Flavia,Misiones,2017-12-10,2021-12-09,Frente de la Concordia Misionero
Mosqueda,Juan,Chaco,2019-12-10,2021-12-09,Frente de Todos
Najul,Claudia,Mendoza,2017-12-10,2021-12-09,Ucr
Oliveto Lago,Paula,Ciudad de Buenos Aires,2017-12-10,2021-12-09,Coalicion Civica
Oliveto Lago,Paula,Ciudad de Buenos Aires,2024-05-02,2025-12-09,Coalicion Civica
Lopez,Juan Manuel,Ciudad de Buenos Aires,2017-12-10,2021-12-09,Coalicion Civica
Lopez,Juan Manuel,Buenos Aires,2024-05-02,2025-12-09,Coalicion Civica
Macha,Monica,Buenos Aires,2019-12-10,2021-12-09,Frente de Todos
Macha,Monica,Buenos Aires,2025-05-05,2025-12-09,Unión por la Patria
Martiarena,Jose Luis,Jujuy,2019-12-10,2021-12-09,Frente de Todos
Pertile,Elda,Chaco,2019-12-10,2021-12-09,Frente de Todos
Piccolomini,Maria Carla,Buenos Aires,2017-12-10,2021-12-09,Pro
Quetglas,Fabio Jose,Buenos Aires,2017-12-10,2021-12-09,Ucr
Quetglas,Fabio Jose,Buenos Aires,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Ramon,Jose Luis,Mendoza,2019-12-10,2021-12-09,Unidad y Equidad Federal
Rauschenberger,Ariel,La Pampa,2019-12-10,2021-12-09,Frente de Todos
Rauschenberger,Ariel,La Pampa,2023-12-10,2027-12-09,Unión por la Patria
Regidor Belledone,Estela Mercedes,Corrientes,2017-12-10,2021-12-09,Ucr
Reyes,Roxana Nahir,Santa Cruz,2017-12-10,2021-12-09,Ucr
Reyes,Roxana Nahir,Santa Cruz,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Rodenas,Alejandra,Santa Fe,2019-12-10,2019-12-11,Frente de Todos
Romero,Jorge Antonio,Corrientes,2019-12-10,2021-12-09,Frente de Todos
Romero,Jorge Antonio,Corrientes,2023-12-10,2025-12-09,Unión por la Patria
Rosso,Victoria,San Luis,2019-12-10,2021-12-09,Frente de Todos
Russo,Laura,Buenos Aires,2019-12-10,2021-12-09,Frente de Todos
Saadi,Gustavo Arturo,Catamarca,2017-12-13,2019-12-03,Elijo Catamarca
Sahad,Julio Enrique,La Rioja,2017-12-10,2021-12-09,Pro
Salvarezza,Roberto,Buenos Aires,2019-12-10,2019-12-10,Frente de Todos
Sapag,Alma Liliana,Neuquen,2017-12-10,2021-12-09,Mov Pop Neuquino
Schlereth,David Pablo,Neuquen,2017-12-10,2021-12-09,Pro
Sierra,Magdalena,Buenos Aires,2019-12-10,2021-02-10,Frente de Todos
Siley,Vanesa Raquel,Buenos Aires,2019-12-10,2021-12-09,Frente de Todos
Siley,Vanesa Raquel,Buenos Aires,2025-12-10,2025-12-09,Unión por la Patria
Siley,Vanesa Raquel,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Stefani,Hector Antonio,Tierra del Fuego,2017-12-10,2021-12-09,Pro
Stefani,Hector Antonio,Tierra del Fuego,2023-12-10,2024-10-12,Pro
Suarez Lastra,Facundo,Ciudad de Buenos Aires,2017-12-10,2021-12-09,Ucr
Vallejos,Fernanda,Buenos Aires,2019-12-10,2021-12-09,Frente de Todos
Vazquez,Juan Benedicto,Santa Cruz,2019-12-10,2021-12-09,Frente de Todos
Vigo,Alejandra Maria,Cordoba,2017-12-10,2021-12-09,Cordoba Federal
Villa,Natalia Soledad,Buenos Aires,2017-12-10,2021-12-09,Pro
Wellbach,Ricardo,Misiones,2017-12-10,2021-12-09,Frente de la Concordia Misionero
Yasky,Hugo,Buenos Aires,2019-12-10,2021-12-09,Frente de Todos
Yasky,Hugo,Buenos Aires,2025-12-10,2025-12-09,Unión por la Patria
Yasky,Hugo,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Espinoza,Fernando,Buenos Aires,2019-12-10,2019-12-11,Frente de Todos
Yedlin,Pablo Raul,Tucuman,2019-12-10,2021-12-09,Frente de Todos
Yedlin,Pablo Raul,Tucuman,2023-12-10,2027-12-09,Unión por la Patria
Bucca,Eduardo,Buenos Aires,2021-08-05,2021-12-09,Frente de Todos
Mendoza,Josefina,Buenos Aires,2017-12-10,2021-12-09,Ucr
Muñoz,Rosa Rosario,Chubut,2019-12-10,2021-12-09,Frente de Todos
Enriquez,Jorge Ricardo,Ciudad de Buenos Aires,2017-12-18,2021-12-09,Pro
Hummel,Astrid,Santa Fe,2017-12-18,2019-12-09,Pro
Vallone,Andres Alberto,San Luis,2018-02-06,2019-12-09,Unidad Justicialista
Derna,Veronica,Misiones,2017-12-18,2019-12-09,Frente de la Concordia Misionero
Ricci,Nadia Lorena,Santa Cruz,2018-03-14,2019-12-09,Ucr
Bragagnolo,Sebastian,Mendoza,2018-05-09,2019-12-09,Pro
Asencio,Fernando,Buenos Aires,2018-10-22,2019-12-09,Red por Argentina
Schlotthauer,Monica Leticia,Buenos Aires,2019-04-04,2019-12-09,Izquierda Socialista - Frente de Izquierda
Schlotthauer,Monica Leticia,Buenos Aires,2021-06-10,2021-12-09,Izquierda Socialista - Frente de Izquierda
Schlotthauer,Monica Leticia,Buenos Aires,2024-06-27,2025-04-10,Izquierda Socialista Fit-Unidad
Herrera,Bernardo Jose,Santiago del Estero,2019-12-10,2021-12-09,Frente de Todos
Herrera,Bernardo Jose,Santiago del Estero,2023-12-10,2025-12-09,Unión por la Patria
Moretti,Jose Luis,La Rioja,2019-05-15,2019-12-09,Federal Unidos por una Nueva Argentina
Caballero,Alejandra Alcira,Ciudad de Buenos Aires,2019-06-26,2019-12-09,Pro
Mirabella,Roberto,Santa Fe,2024-12-26,2025-12-09,Defendamos Santa Fe
Latorre,Jimena,Mendoza,2019-12-10,2023-12-09,Ucr
Ruarte,Adriana Noemi,Cordoba,2019-12-10,2023-12-09,Pro
Godoy,Lucas Javier,Salta,2019-12-10,2023-12-09,Frente de Todos
Romero,Victor Hugo,Cordoba,2019-12-10,2023-12-09,Ucr
Uceda,Marisa Lourdes,Mendoza,2019-12-10,2023-12-09,Frente de Todos
Rizzotti,Jorge,Jujuy,2019-12-10,2023-12-09,Ucr
Rizzotti,Jorge,Jujuy,2025-12-10,2027-12-09,Provincias Unidas
Sanchez,Francisco,Neuquen,2019-12-10,2023-12-09,Pro
Estevez,Enrique,Santa Fe,2019-12-10,2023-12-09,Socialista
Ascarate,Lidia Ines,Tucuman,2019-12-10,2023-12-09,Ucr
Aparicio,Alicia N.,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Ormachea,Claudia Beatriz,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Lampreabe,Florencia,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Ponce,Carlos Ybrhain,San Luis,2019-12-10,2023-12-09,Frente de Todos
Schiavoni,Alfredo Oscar,Misiones,2019-12-10,2023-12-09,Pro
Martin,Juan,Santa Fe,2019-12-10,2023-12-09,Ucr
Cisneros,Carlos,Tucuman,2019-12-10,2023-12-09,Frente de Todos
Cisneros,Carlos,Tucuman,2023-12-10,2027-12-09,Unión por la Patria
El Sukaria,Soher,Cordoba,2019-12-10,2023-12-09,Pro
Morales Gorleri,Victoria,Ciudad de Buenos Aires,2019-12-10,2023-12-09,Pro
Gutierrez,Carlos,Cordoba,2019-12-10,2023-12-09,Cordoba Federal
Gutierrez,Carlos,Cordoba,2025-12-10,2027-12-09,Provincias Unidas
Perez Araujo,Hernan,La Pampa,2019-12-10,2023-12-09,Frente de Todos
Barbaro,Hector Cacho,Misiones,2019-12-10,2023-12-09,Frente de Todos
Lena,Gabriela,Entre Rios,2019-12-10,2023-12-09,Ucr
Vivero,Carlos Alberto,Neuquen,2019-12-19,2021-12-09,Frente de Todos
Soria,Martin,Rio Negro,2019-12-10,2021-03-27,Frente de Todos
Soria,Martin,Rio Negro,2023-12-10,2025-12-09,Unión por la Patria
Rodriguez,Alejandro Topo,Buenos Aires,2023-11-22,2023-12-09,Consenso Federal
Gutierrez,Ramiro,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Gutierrez,Ramiro,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Martinez,Maria Rosa,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Berhongaray,Martin Antonio,La Pampa,2021-12-10,2023-12-09,Evolucion Radical
Casaretto,Marcelo Pablo,Entre Rios,2019-12-10,2023-12-09,Frente de Todos
Yacobitti,Emiliano Benjamin,Ciudad de Buenos Aires,2021-12-10,2023-12-09,Evolucion Radical
Casas,Sergio Guillermo,La Rioja,2019-12-10,2023-12-09,Frente de Todos
Casas,Sergio Guillermo,La Rioja,2023-12-10,2027-12-09,Unión por la Patria
Hein,Gustavo Rene,Entre Rios,2019-12-10,2023-12-09,Pro
Cornejo,Virginia,Salta,2020-02-26,2023-12-09,Pro
Frigerio,Federico,Tierra del Fuego,2019-12-10,2023-12-09,Pro
Parola,Maria Graciela,Formosa,2019-12-10,2023-12-09,Frente de Todos
Parola,Maria Graciela,Formosa,2023-12-10,2027-12-09,Unión por la Patria
Cacace,Alejandro,San Luis,2021-12-10,2023-12-09,Evolucion Radical
Torres,Ignacio Agustin,Chubut,2022-06-13,2022-08-10,Juntos por el Cambio Chubut
Ferraro,Maximiliano,Ciudad de Buenos Aires,2019-12-10,2023-12-09,Coalicion Civica
Ferraro,Maximiliano,Ciudad de Buenos Aires,2024-05-02,2027-12-09,Coalicion Civica
Obeid,Alejandra del Huerto,Santa Fe,2019-12-10,2023-12-09,Frente de Todos
Martinez,German Pedro,Santa Fe,2019-12-10,2023-12-09,Frente de Todos
Martinez,German Pedro,Santa Fe,2023-12-10,2027-12-09,Unión por la Patria
Alvarez,Felipe,La Rioja,2021-12-10,2023-12-09,Ser - Somos Energia para Renovar
Lopez Rodriguez,Dante,Catamarca,2019-12-19,2021-12-09,Frente de Todos
Lopez Rodriguez,Dante,Catamarca,2023-12-10,2025-12-09,Unión por la Patria
Leito,Mario,Tucuman,2019-12-10,2023-10-27,Frente de Todos
Angelini,Federico,Santa Fe,2019-12-10,2023-12-09,Pro
De Lamadrid,Alvaro,Ciudad de Buenos Aires,2019-12-10,2021-12-09,Ucr
Rey,Maria Lujan,Buenos Aires,2019-12-10,2023-12-09,Pro
Landriscini,Susana Graciela,Rio Negro,2019-12-10,2023-12-09,Frente de Todos
Crescimbeni,Camila,Buenos Aires,2019-12-10,2023-12-09,Pro
Vilar,Daniela Marina,Buenos Aires,2019-12-10,2021-12-16,Frente de Todos
Leiva,Aldo,Chaco,2019-12-10,2023-12-09,Frente de Todos
Leiva,Aldo,Chaco,2023-12-10,2027-12-09,Unión por la Patria
Caliva,Lia Veronica,Salta,2019-12-10,2023-12-09,Frente de Todos
Orrego,Humberto Marcelo,San Juan,2019-12-10,2023-12-09,Produccion y Trabajo
Bermejo,Alejandro Daniel,Mendoza,2019-12-10,2021-03-27,Frente de Todos
Cipolini,Gerardo,Chaco,2019-12-10,2023-12-09,Ucr
Cipolini,Gerardo,Chaco,2023-12-10,2027-12-09,Ucr - Unión Cívica Radical
Hagman,Itai,Ciudad de Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Hagman,Itai,Ciudad de Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Hagman,Itai,Ciudad de Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Ameri,Juan Emilio,Salta,2019-12-19,2020-09-24,Frente de Todos
Amaya,Domingo Luis,Tucuman,2021-12-10,2023-12-09,Encuentro Federal
Manzi,Ruben,Catamarca,2019-12-10,2023-12-09,Coalicion Civica
Montoto,Maria Luisa,Santiago del Estero,2019-12-19,2021-12-09,Frente de Todos
Montoto,Maria Luisa,Santiago del Estero,2023-12-10,2025-12-09,Unión por la Patria
Joury,Maria de las Mercedes,Buenos Aires,2019-12-10,2023-12-09,Pro
Frade,Monica,Buenos Aires,2019-12-10,2023-12-09,Coalicion Civica
Frade,Monica,Buenos Aires,2024-05-02,2027-12-09,Coalicion Civica
Salvador,Sebastian Nicolas,Buenos Aires,2019-12-10,2023-12-09,Ucr
Garcia de Luca,Sebastian,Buenos Aires,2021-12-10,2023-12-09,Encuentro Federal
Di Giacomo,Luis,Rio Negro,2019-12-10,2023-12-09,Juntos Somos Rio Negro
Garcia,Ximena,Santa Fe,2019-12-10,2023-12-09,Ucr
Fernandez,Eduardo,Cordoba,2019-12-10,2023-12-09,Frente de Todos
Martinez,Dolores,Ciudad de Buenos Aires,2021-12-10,2023-12-09,Evolucion Radical
Sand,Nancy,Corrientes,2019-12-10,2023-12-09,Frente de Todos
Sand,Nancy,Corrientes,2023-12-10,2027-12-09,Unión por la Patria
Vara,Jorge,Corrientes,2019-12-10,2023-12-09,Ucr
Ferreyra,Daniel Julio,Jujuy,2019-12-10,2023-08-05,Frente de Todos
Rezinovsky,Dina,Ciudad de Buenos Aires,2019-12-10,2023-12-09,Pro
Penacca,Paula Andrea,Ciudad de Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Penacca,Paula Andrea,Ciudad de Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Daives,Ricardo,Santiago del Estero,2019-12-10,2023-12-09,Frente de Todos
Daives,Ricardo,Santiago del Estero,2023-12-10,2027-12-09,Unión por la Patria
Zuvic,Mariana,Ciudad de Buenos Aires,2019-12-10,2023-12-09,Coalicion Civica
Jetter,Ingrid,Corrientes,2019-12-10,2023-12-09,Pro
Valdes,Eduardo Felix,Ciudad de Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Valdes,Eduardo Felix,Ciudad de Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Yambrun,Liliana Patricia,Buenos Aires,2019-12-10,2023-12-09,Frente de Todos
Castets,Laura Carolina,Santa Fe,2023-03-27,2023-12-09,Valores Republicanos
Stilman,Mariana,Buenos Aires,2019-12-10,2023-12-09,Coalicion Civica
Hernandez,Estela,Chubut,2019-12-10,2023-12-09,Frente de Todos
Vessvessian,Paola,Santa Cruz,2019-12-10,2023-12-09,Frente de Todos
Cafiero,Santiago,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Fagioli,Federico,Buenos Aires,2019-12-19,2023-12-09,Frente de Todos
Rodriguez Saa,Nicolas,Buenos Aires,2019-12-19,2021-12-09,Frente de Todos
Koenig,Marcelo,Buenos Aires,2019-12-19,2021-12-09,Frente de Todos
Bogdanich,Esteban Mateo,Santa Fe,2019-12-19,2021-12-09,Frente de Todos
Marquez,Claudia Gabriela,Cordoba,2019-12-19,2021-12-09,Cordoba Federal
Sposito,Ayelen,Rio Negro,2019-12-19,2021-12-09,Frente de Todos
Guevara,Francisco,San Juan,2019-12-19,2021-12-09,Frente de Todos
Lopez,Jimena,Buenos Aires,2019-12-19,2022-12-01,Frente de Todos
Lopez,Jimena,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Fernandez,Hector,Buenos Aires,2019-12-19,2021-12-09,Frente de Todos
Daldovo,Nelly Ramona,Formosa,2019-12-19,2023-12-09,Frente de Todos
Uhrig,Romina,Buenos Aires,2019-12-19,2021-12-09,Frente de Todos
Yutrovic,Carolina,Tierra del Fuego,2019-12-19,2021-12-09,Frente de Todos
Yutrovic,Carolina,Tierra del Fuego,2023-12-10,2025-12-09,Unión por la Patria
Mounier,Patricia,Santa Fe,2019-12-19,2021-12-09,Frente de Todos
Alderete,Juan Carlos,Buenos Aires,2019-12-19,2023-12-09,Frente de Todos
Marziotta,Gisela,Ciudad de Buenos Aires,2020-01-29,2021-12-09,Frente de Todos
Marziotta,Gisela,Ciudad de Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Caceres,Adriana,Buenos Aires,2020-02-27,2021-12-09,Pro
Bormioli,Lisandro,Buenos Aires,2020-05-13,2023-12-09,Frente de Todos
Carnaghi,Guillermo Oscar,Neuquen,2020-09-25,2023-12-09,Frente de Todos
Figueroa,Alcira Elsa,Salta,2020-10-07,2021-12-09,Frente de Todos
Veron,Jorge Guillermo,Santa Cruz,2021-02-11,2023-12-09,Frente de Todos
Ortega,Carlos,Buenos Aires,2021-02-11,2021-12-09,Frente de Todos
Dantas,Pedro Cristian,Rio Negro,2021-03-27,2023-12-09,Frente de Todos
Perez Plaza,Eber Albano,Mendoza,2021-03-27,2023-12-09,Frente de Todos
Yapor,Lucio,Buenos Aires,2021-10-26,2023-12-09,Frente de Todos
Lopez,Gustavo Fernando,Ciudad de Buenos Aires,2021-10-26,2021-12-09,Frente de Todos
Souto,Natalia Marcela,Buenos Aires,2021-10-26,2023-12-09,Frente de Todos
Marcolli,Julieta,Catamarca,2021-10-26,2021-12-09,Frente Civico y Social de Catamarca
Milei,Javier Gerardo,Ciudad de Buenos Aires,2021-12-10,2023-11-29,La Libertad Avanza
Besana,Gabriela,Buenos Aires,2023-12-10,2025-12-09,Pro
Figueroa,Rolando,Neuquen,2021-12-10,2023-12-05,Movimiento Popular Neuquino
Sayago,Silvia,Santiago del Estero,2021-12-10,2021-12-12,Frente de Todos
Estrada,Emiliano,Salta,2023-12-10,2025-12-09,Unión por la Patria
Chomiak,Maria Luisa,Chaco,2023-12-10,2025-12-09,Unión por la Patria
Ledesma,Tomas,Entre Rios,2023-12-10,2025-12-09,Unión por la Patria
Sanchez,Roberto Antonio,Tucuman,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Figueroa Casas,Germana,Santa Fe,2023-12-10,2025-12-09,Pro
Toniolli,Eduardo,Santa Fe,2023-12-10,2025-12-09,Unión por la Patria
Fein,Monica,Santa Fe,2024-08-07,2025-12-09,Encuentro Federal
Santoro,Leandro,Ciudad de Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Antola,Marcela,Entre Rios,2024-10-24,2025-12-09,Democracia para Siempre
Coli,Marcela,La Pampa,2024-10-24,2025-12-09,Democracia para Siempre
Tavela,Danya,Buenos Aires,2024-10-24,2025-12-09,Democracia para Siempre
Tolosa Paz,Victoria,Buenos Aires,2021-12-10,2022-10-12,Frente de Todos
Tolosa Paz,Victoria,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Galimberti,Pedro Jorge,Entre Rios,2023-12-10,2024-09-09,Ucr - Unión Cívica Radical
Lopez Murphy,Ricardo Hipolito,Ciudad de Buenos Aires,2025-03-05,2025-12-09,Republicanos Unidos
Vargas Matyi,Brenda,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Zapata,Carlos Raul,Salta,2025-12-10,2025-12-09,La Libertad Avanza
Zapata,Carlos Raul,Salta,2025-12-10,2029-12-09,La Libertad Avanza
Espert,Jose Luis,Buenos Aires,2024-03-13,2025-12-09,La Libertad Avanza
Pedrali,Gabriela,La Rioja,2023-12-10,2025-12-09,Unión por la Patria
Pedrali,Gabriela,La Rioja,2025-12-10,2029-12-09,Unión por la Patria
Fernandez,Agustin,Tucuman,2024-01-24,2025-12-09,Independencia
Palazzo,Sergio Omar,Buenos Aires,2025-12-10,2025-12-09,Unión por la Patria
Palazzo,Sergio Omar,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Propato,Agustina Lucrecia,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Propato,Agustina Lucrecia,Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Barletta,Mario,Santa Fe,2024-10-30,2025-12-09,Unidos
Bertoldi,Tanya,Neuquen,2023-12-10,2025-12-09,Unión por la Patria
Manes,Facundo,Buenos Aires,2024-10-24,2025-12-09,Democracia para Siempre
Omodeo,Paula,Tucuman,2023-12-10,2025-12-09,Creo
Garcia Aresca,Ignacio,Cordoba,2025-12-10,2025-12-09,Provincias Unidas
Garcia Aresca,Ignacio,Cordoba,2025-12-10,2029-12-09,Provincias Unidas
Chaher,Leila,Jujuy,2023-12-10,2025-12-09,Unión por la Patria
Alianiello,Eugenia,Chubut,2023-12-10,2025-12-09,Unión por la Patria
Borrego,Victoria,Buenos Aires,2024-05-02,2025-12-09,Coalicion Civica
Sotolano,Maria,Buenos Aires,2023-12-10,2025-12-09,Pro
Pereyra,Julio,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Ajmechet,Sabrina,Ciudad de Buenos Aires,2025-11-03,2025-12-09,La Libertad Avanza
Ajmechet,Sabrina,Ciudad de Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Bermejo,Adolfo,Mendoza,2023-12-10,2025-12-09,Unión por la Patria
Zangla,Maria Jose,San Luis,2021-12-10,2021-12-20,Frente de Todos
Chumpitaz,Gabriel Felipe,Santa Fe,2025-05-05,2025-12-09,Futuro y Libertad
Tejeda,Maria Victoria,Santa Fe,2021-12-10,2023-11-28,Evolucion Radical
Aubone,Ana Fabiola,San Juan,2023-12-10,2025-12-09,Unión por la Patria
Paponet,Liliana,Mendoza,2023-12-10,2025-12-09,Unión por la Patria
Carbajal,Fernando,Formosa,2024-10-24,2025-12-09,Democracia para Siempre
Tortoriello,Anibal,Rio Negro,2025-12-10,2025-12-09,La Libertad Avanza
Tortoriello,Anibal,Rio Negro,2025-12-10,2029-12-09,La Libertad Avanza
Stolbizer,Margarita,Buenos Aires,2024-08-07,2025-12-09,Encuentro Federal
Gollan,Daniel,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Monti,Francisco,Catamarca,2025-04-14,2025-12-09,Liga del Interior Eli
De la Sota,Natalia,Cordoba,2025-12-10,2025-12-09,Defendamos Córdoba
De la Sota,Natalia,Cordoba,2025-12-10,2029-12-09,Defendamos Córdoba
Polini,Juan Carlos,Chaco,2024-10-24,2025-12-09,Democracia para Siempre
Cervi,Pablo,Neuquen,2025-04-14,2025-12-09,Liga del Interior Eli
Chahla,Rossana,Tucuman,2021-12-10,2023-10-27,Frente de Todos
Bouhid,Gustavo,Jujuy,2021-12-10,2023-06-02,Ucr
Villarruel,Victoria,Ciudad de Buenos Aires,2021-12-10,2023-12-04,La Libertad Avanza
Arjol,Martin,Misiones,2025-04-14,2025-12-09,Liga del Interior Eli
Vilca,Alejandro,Jujuy,2024-06-11,2025-12-09,Pts-Frente de Izquierda Unidad
Litza,Monica,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Alonso,Constanza Maria,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Martinez,Alvaro,Mendoza,2025-12-10,2025-12-09,La Libertad Avanza
Martinez,Alvaro,Mendoza,2025-12-10,2029-12-09,La Libertad Avanza
Santos,Gustavo,Cordoba,2021-12-10,2023-08-14,Pro
Piparo,Carolina,Buenos Aires,2024-09-13,2025-12-01,La Libertad Avanza
Klipauka Lewtak,Florencia,Misiones,2024-03-20,2025-12-09,La Libertad Avanza
De Loredo,Rodrigo,Cordoba,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Tetaz,Martin Alberto,Ciudad de Buenos Aires,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Marin,Varinia Lis,La Pampa,2023-12-10,2025-12-09,Unión por la Patria
Marin,Varinia Lis,La Pampa,2025-12-10,2029-12-09,Unión por la Patria
Quiroz,Marilu,Chaco,2023-12-10,2025-12-09,Pro
Calletti,Pamela,Salta,2023-12-10,2025-12-09,Innovación Federal
Bachey,Karina Ethel,San Luis,2023-12-10,2025-12-09,Pro
Mastaler,Magali,Santa Fe,2023-12-10,2025-12-09,Unión por la Patria
Herrera,Ricardo,La Rioja,2023-12-10,2025-12-09,Unión por la Patria
Iparraguirre,Rogelio,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Santilli,Diego,Buenos Aires,2023-12-10,2025-11-07,Pro
Romero,Ana Clara,Chubut,2023-12-10,2025-12-09,Pro
Vidal,Maria Eugenia,Ciudad de Buenos Aires,2023-12-10,2025-12-09,Pro
Domingo,Agustin,Rio Negro,2023-12-10,2025-12-09,Innovación Federal
Finocchiaro,Alejandro,Buenos Aires,2023-12-10,2025-12-09,Pro
Finocchiaro,Alejandro,Buenos Aires,2025-12-10,2029-12-09,Pro
Brouwer de Koning,Gabriela,Cordoba,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Vidal,Claudio Orlando,Santa Cruz,2021-12-10,2023-12-07,Ser - Somos Energia para Renovar
Laciar,Susana Alicia,San Juan,2021-12-10,2023-12-09,Produccion y Trabajo
Aguirre,Manuel Ignacio,Corrientes,2024-10-24,2025-12-09,Democracia para Siempre
Zaracho,Natalia,Buenos Aires,2021-12-16,2023-12-09,Frente de Todos
Zaracho,Natalia,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Costa,Anahi,Catamarca,2021-12-16,2023-12-09,Frente de Todos
Gonzalez,Gustavo Carlos Miguel,Santa Cruz,2023-12-10,2025-12-09,Unión por la Patria
Moyano,Nilda,Santiago del Estero,2023-12-10,2025-12-09,Unión por la Patria
Taccetta,Matias,Chubut,2021-12-16,2023-12-08,Pro
Borda,Fabian Antonio,Corrientes,2021-12-16,2023-12-09,Frente de Todos
Nieri,Lisandro,Mendoza,2021-12-16,2023-12-09,Ucr
Nieri,Lisandro,Mendoza,2023-12-10,2027-12-09,Ucr - Unión Cívica Radical
Carasso,Marcos Gustavo,Cordoba,2021-12-16,2023-12-09,Ucr
Fernandez,Carlos Alberto,Misiones,2023-12-10,2025-12-09,Innovación Federal
Zabala Chacur,Natalia,San Luis,2023-12-10,2025-12-09,Unión por la Patria
Marino,Juan,Buenos Aires,2022-08-02,2023-12-09,Frente de Todos
Marino,Juan,Buenos Aires,2023-12-10,2027-12-09,Unión por la Patria
Moran,Micaela,Buenos Aires,2023-12-10,2025-12-09,Unión por la Patria
Olmos,Kelly,Ciudad de Buenos Aires,2025-12-10,2029-12-09,Unión por la Patria
Arricau,Carolina Natalia,Buenos Aires,2022-12-01,2023-12-09,Frente de Todos
Mraida,Gabriel Sebastian,Buenos Aires,2023-02-28,2023-06-30,Pro
Sarapura,Natalia Silvina,Jujuy,2023-12-10,2025-12-09,Ucr - Unión Cívica Radical
Espil,Santiago Eugenio,Buenos Aires,2023-07-05,2023-12-09,Coalicion Civica
Agost Carreño,Oscar,Cordoba,2024-08-07,2025-12-09,Encuentro Federal
Cantero,Carlos,Jujuy,2023-08-23,2023-12-09,Frente de Todos
Fernandez,Elia Marina,Tucuman,2024-01-24,2025-12-09,Independencia
Fernandez,Elia Marina,Tucuman,2025-12-10,2027-12-09,Independencia
Herrera,Marcela,Tucuman,2023-11-02,2023-12-09,Frente de Todos
Arancibia Rodriguez,Alberto Gustavo,San Luis,2023-12-20,2025-12-09,La Libertad Avanza
Araujo,Maria Fernanda,Ciudad de Buenos Aires,2023-12-07,2025-12-09,La Libertad Avanza
Emma,Nicolas,Ciudad de Buenos Aires,2025-12-10,2025-12-09,La Libertad Avanza
Emma,Nicolas,Ciudad de Buenos Aires,2025-12-10,2029-12-09,La Libertad Avanza
Llancafilo,Osvaldo,Neuquen,2024-02-21,2025-12-09,Movimiento Popular Neuquino
