id_canonico,id_absorbido,nombre_canonico,nombre_absorbido,votos_canonico,votos_absorbido,camaras,distrito,fuentes_canonico,fuentes_absorbido,grupo
leg:3ad1f3c963e5,leg:142aee868ad2,"Marziotta, Gisela",MARZIOTTA Maria Gisela,295,4,diputados,CABA,argentinadatos,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:8800aa059a10,leg:90a2c1da63e9,MOREAU Leopoldo Raúl Guido,"MOREAU, Leopoldo Raúl",244,42,diputados,BUENOS AIRES,ckan_diputados,decada_votada,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:c59cc4e92905,leg:95fe3bbb8634,"TAIANA, JORGE ENRIQUE","Taiana, Jorge",146,105,diputados/senado,BUENOS AIRES,senado,argentinadatos/manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:21e6983f18ce,leg:7c9c1075948f,"CORPACCI de MERCADO, Lucia B .",CORPACCI Lucia,216,31,diputados/senado,CATAMARCA,decada_votada,ckan_diputados,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:1cc767abd565,leg:ca8e36ee57b4,"Herrera Ahuad, Oscar A.","Herrera, Oscar",95,10,diputados,MISIONES,argentinadatos,manual_2026,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:61d4858c1a5e,leg:eb499e8d19e7,AMAYA Domingo,"Amaya, Domingo Luis",31,21,diputados,TUCUMAN,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:256c9687e6e4,leg:4e8146bab086,APARICIO Alicia Noemi,"Aparicio, Alicia N.",31,21,diputados,BUENOS AIRES,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:488945f5f694,leg:922ca54d2c2c,LENA Gabriela Mabel,"Lena, Gabriela",31,21,diputados,ENTRE RIOS,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:9af01f0886ff,leg:40316693278c,REZINOVSKY Dina Esther,"Rezinovsky, Dina",31,21,diputados,CABA,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:97cfe3c6cd18,leg:80f7cbdb6680,MARTÍNEZ Maria Dolores,"Martinez, Dolores",31,21,diputados,CABA,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:0cfa8901a8f9,leg:e0ec13db40a4,JOURY Mercedes,"Joury, Maria de las Mercedes",31,21,diputados,BUENOS AIRES,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:7fa0344d8a22,leg:298c0549e724,LATORRE Jimena Hebe,"Latorre, Jimena",31,21,diputados,MENDOZA,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:16598fe960e1,leg:dee0a5011600,HERNÁNDEZ Estela Beatriz,"Hernandez, Estela",31,21,diputados,CHUBUT,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:2f4a251ea34c,leg:7af80bdcd0f9,ORMACHEA Claudia,"Ormachea, Claudia Beatriz",31,21,diputados,BUENOS AIRES,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:4ddf567b1f07,leg:46827946cfad,YAMBRUN Liliana,"Yambrun, Liliana Patricia",31,21,diputados,BUENOS AIRES,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:8dba8c707e88,leg:25e568b64e13,ESTEVEZ Enrique Eloy,"Estevez, Enrique",31,21,diputados,SANTA FE,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:9ee22667f2f8,leg:216ad61b75e6,CORNEJO Virginia Maria,"Cornejo, Virginia",31,21,diputados,SALTA,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
leg:100701856e2c,leg:9b4206ebb54c,VESSVESSIAN Marcela Paola,"Vessvessian, Paola",31,21,diputados,SANTA CRUZ,ckan_diputados,argentinadatos,1-CASI SEGURO (mismo distrito + fuentes disjuntas)
