senador,clave,provincia,bloque,desde,hasta,fuente,nota
"VARELA, MARTA",MARTA VARELA,CIUDAD AUTONOMA DE BUENOS AIRES,FRENTE PRO,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"BORELLO, MARTA",BORELLO MARTA,CORDOBA,UNIÓN CÍVICA RADICAL,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"CASERIO, CARLOS ALBERTO",ALBERTO CARLOS CASERIO,CORDOBA,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,electo 2015; wiki17-19 (JUSTICIALISTA) es etiqueta POST-ruptura dic-2017. REVISAR
"JUEZ, LUIS ALFREDO",ALFREDO JUEZ LUIS,CORDOBA,FRENTE CÍVICO DE CÓRDOBA,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"MARTÍNEZ, ERNESTO FÉLIX",ERNESTO FELIX MARTINEZ,CORDOBA,FRENTE PRO,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"MORANDINI, NORMA ELENA",ELENA MORANDINI NORMA,CORDOBA,FRENTE CÍVICO DE CÓRDOBA,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"RODRÍGUEZ MACHADO, LAURA ELENA",ELENA LAURA MACHADO RODRIGUEZ,CORDOBA,FRENTE PRO,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"ALMIRÓN, ANA CLAUDIA",ALMIRON ANA CLAUDIA,CORRIENTES,FRENTE PARA LA VICTORIA-PJ,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"ARTAZA, EUGENIO JUSTINIANO",ARTAZA EUGENIO JUSTINIANO,CORRIENTES,UNIÓN CÍVICA RADICAL,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"BRAILLARD POCCARD, NÉSTOR PEDRO",BRAILLARD NESTOR PEDRO POCCARD,CORRIENTES,FRENTE PRO,2015-01-01,2017-12-09,curado:wiki2017-19,bloque estable del periodo siguiente; sin dato 2014
"ESPÍNOLA, CARLOS MAURICIO",CARLOS ESPINOLA MAURICIO,CORRIENTES,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,electo 2015; wiki17-19 (JUSTICIALISTA) es etiqueta POST-ruptura dic-2017. REVISAR
"MEABE, JOSEFINA ANGELICA",ANGELICA JOSEFINA MEABE,CORRIENTES,LIBERAL DE CORRIENTES,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"ROLDÁN, JOSÉ MARÍA",JOSE MARIA ROLDAN,CORRIENTES,FRENTE DE TODOS (CORRIENTES),2015-01-01,2017-12-09,curado:decada2014,"partido correntino pre-2019, HOMONIMO del FdT nacional; renombrado para que canonica no los funda"
"DE ANGELI, ALFREDO LUIS",ALFREDO ANGELI LUIS,ENTRE RIOS,PRO Y UNIÓN POR ENTRE RÍOS ,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: FRENTE PRO
"GUASTAVINO, PEDRO GUILLERMO ÁNGEL",ANGEL GUASTAVINO GUILLERMO PEDRO,ENTRE RIOS,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: JUSTICIALISTA
"KUNATH, SIGRID ELISABETH",ELISABETH KUNATH SIGRID,ENTRE RIOS,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: JUSTICIALISTA
"DE LA ROSA, MARÍA GRACIELA",GRACIELA MARIA ROSA,FORMOSA,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014
"GONZÁLEZ, MARÍA TERESA MARGARITA",GONZALEZ MARGARITA MARIA TERESA,FORMOSA,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:inferido,electo 2015; wiki17-19 (JUSTICIALISTA) es etiqueta POST-ruptura dic-2017. REVISAR
"MAYANS, JOSÉ MIGUEL ÁNGEL",ANGEL JOSE MAYANS MIGUEL,FORMOSA,FRENTE PARA LA VICTORIA - PJ,2015-01-01,2017-12-09,curado:decada2014,decada 2014; wiki17-19 sugeria: JUSTICIALISTA
